id;name;description;preferred;type;authorization_code;status;status_date;details
1;auxiliary copy;Home Account parse;true;interfaces deliverables New;31214;software Sausages program;2021-07-13T17:14:31;Research matrix feed
2;Investor Kids Rubber;lime;false;Toys Glens leading-edge;197;encoding;2021-07-14T12:39:32;monitor payment
3;firewall flexibility;deposit;true;payment e-business Profit-focused;66451;Metal;2021-07-14T08:52:09;Buckinghamshire black contextually-based
4;Music;Maldives bandwidth ADP;true;impactful;84642;Internal project bandwidth;2021-07-13T20:22:44;productivity Shore
5;user-centric;disintermediate Chief Cliff;false;Shilling Taiwan;56696;blue;2021-07-14T11:01:44;Graphic Savings Investor
6;parse and transmitting;mindshare Front-line;false;Dinar Road primary;87067;feed Darussalam Borders;2021-07-14T06:17:42;JSON
7;Pants Coordinator deposit;up program;false;white;78647;Run sensor Handmade;2021-07-14T04:33:48;coherent Marketing
8;Solomon Montana value-added;Tactics;false;payment invoice Bedfordshire;381;purple;2021-07-14T04:37:02;state
9;Optimization Metal;Data bypassing;false;vortals cross-media;87324;European;2021-07-14T09:00:35;Cloned Salad target
10;vertical Chicken;Cambridgeshire Officer Forward;false;pixel Malaysian;11814;invoice;2021-07-14T06:07:56;compress algorithm Pines
