id;name;description;preferred;type;valid_from;valid_to
1;Investment;Nicaragua pink Hawaii;true;Chips Investment;2021-07-14T12:53:32;2021-07-14T07:35:48
2;online;Clothing pixel Chair;true;Account;2021-07-14T12:23:02;2021-07-13T16:08:00
3;and withdrawal;white parsing 1080p;false;Account;2021-07-14T01:20:48;2021-07-14T01:27:18
4;Customer Checking;Kazakhstan;true;Wooden interface;2021-07-14T03:09:30;2021-07-13T17:16:48
5;Rubber wireless;invoice logistical Solutions;false;encompassing Card;2021-07-14T05:17:54;2021-07-14T01:27:43
6;Computer;Soft Architect;false;lime Garden;2021-07-13T21:21:08;2021-07-13T19:05:22
7;Practical bus parse;Georgia parsing frictionless;false;harness Metrics e-services;2021-07-14T07:44:34;2021-07-14T05:09:42
8;innovate;Ergonomic program overriding;false;withdrawal Poland;2021-07-14T04:58:24;2021-07-13T16:43:07
9;Herzegovina Credit;Officer;false;Generic;2021-07-13T18:04:33;2021-07-13T14:32:13
10;Cotton haptic Namibia;copy Automotive green;true;Engineer;2021-07-14T10:49:13;2021-07-14T11:59:33
